ClienteID,Nombre,Edad,Localizacion,Producto,Categoria,Transacciones,Fecha
6915,Charlie,30,"Los Angeles, CA",Smartwatch,Wearables,446,2023-01-01 00:00:00
5559,Eva,65,"Los Angeles, CA",Smartphone,Electronics,858,2023-01-01 01:00:00
1973,Isla,62,"San Antonio, TX",Smartphone,Electronics,168,2023-01-01 02:00:00
5244,Alice,26,"San Antonio, TX",Headphones,Audio,589,2023-01-01 03:00:00
5008,Alice,67,"San Antonio, TX",Laptop,Computers,589,2023-01-01 04:00:00
9226,Alice,65,"Los Angeles, CA",Laptop,Computers,675,2023-01-01 05:00:00
6997,David,37,"Chicago, IL",Headphones,Audio,253,2023-01-01 06:00:00
9192,Grace,61,"Los Angeles, CA",Headphones,Audio,660,2023-01-01 07:00:00
8885,Bob,57,"Phoenix, AZ",Smartphone,Electronics,822,2023-01-01 08:00:00
3515,Charlie,18,"Chicago, IL",Smartwatch,Wearables,601,2023-01-01 09:00:00
7747,David,30,"San Jose, CA",Smartphone,Electronics,335,2023-01-01 10:00:00
7213,Alice,39,"Philadelphia, PA",Smartphone,Electronics,319,2023-01-01 11:00:00
6763,Bob,68,"Philadelphia, PA",Tablet,Mobile,293,2023-01-01 12:00:00
7400,Bob,30,"Phoenix, AZ",Smartphone,Electronics,358,2023-01-01 13:00:00
2940,Frank,52,"Invalid, XX",Smartwatch,Wearables,594,2023-01-01 14:00:00
8010,David,18,"San Diego, CA",Smartphone,Electronics,583,2023-01-01 15:00:00
9283,Grace,63,"Philadelphia, PA",Headphones,Audio,248,2023-01-01 16:00:00
5689,Hannah,50,"Los Angeles, CA",Smartwatch,Wearables,529,2023-01-01 17:00:00
7515,Bob,22,"New York, NY",Headphones,Audio,464,2023-01-01 18:00:00
8036,Bob,47,"Invalid, XX",Tablet,Mobile,266,2023-01-01 19:00:00
4891,Eva,22,"Los Angeles, CA",Tablet,Mobile,945,2023-01-01 20:00:00
3146,David,60,"Houston, TX",Smartwatch,Wearables,649,2023-01-01 21:00:00
5093,Jack,42,"Houston, TX",Laptop,Computers,127,2023-01-01 22:00:00
4663,Bob,43,"Dallas, TX",Laptop,Computers,552,2023-01-01 23:00:00
6081,Isla,36,"San Jose, CA",Smartwatch,Wearables,912,2023-01-02 00:00:00
8674,Isla,29,"San Jose, CA",Smartwatch,Wearables,713,2023-01-02 01:00:00
1961,Jack,25,"San Antonio, TX",Headphones,Audio,161,2023-01-02 02:00:00
7082,David,27,"Dallas, TX",Tablet,Mobile,608,2023-01-02 03:00:00
5341,Bob,35,"Philadelphia, PA",Smartwatch,Wearables,884,2023-01-02 04:00:00
5374,Charlie,58,"New York, NY",Smartphone,Electronics,267,2023-01-02 05:00:00
4581,Hannah,28,"San Jose, CA",Headphones,Audio,330,2023-01-02 06:00:00
6380,Hannah,47,"San Diego, CA",Tablet,Mobile,721,2023-01-02 07:00:00
3312,Grace,22,"Houston, TX",Headphones,Audio,134,2023-01-02 08:00:00
7658,David,41,"San Jose, CA",Tablet,Mobile,821,2023-01-02 09:00:00
3492,Alice,62,"San Diego, CA",Smartphone,Electronics,796,2023-01-02 10:00:00
3270,Jack,30,"Chicago, IL",Tablet,Mobile,312,2023-01-02 11:00:00
7701,Isla,53,"Philadelphia, PA",Headphones,Audio,380,2023-01-02 12:00:00
8607,Grace,66,"Houston, TX",Tablet,Mobile,610,2023-01-02 13:00:00
9460,Alice,44,"San Jose, CA",Headphones,Audio,578,2023-01-02 14:00:00
8208,Eva,49,"Houston, TX",Smartwatch,Wearables,370,2023-01-02 15:00:00
7184,Charlie,31,"Los Angeles, CA",Smartphone,Electronics,978,2023-01-02 16:00:00
5077,Bob,58,"Houston, TX",Headphones,Audio,860,2023-01-02 17:00:00
6294,Charlie,19,"New York, NY",Laptop,Computers,758,2023-01-02 18:00:00
1432,Frank,21,"New York, NY",Laptop,Computers,278,2023-01-02 19:00:00
8616,Grace,28,"Phoenix, AZ",Tablet,Mobile,240,2023-01-02 20:00:00
1802,Jack,59,"New York, NY",Smartwatch,Wearables,195,2023-01-02 21:00:00
7134,Isla,54,"Chicago, IL",Smartwatch,Wearables,450,2023-01-02 22:00:00
7466,Jack,65,"Chicago, IL",Laptop,Computers,817,2023-01-02 23:00:00
5995,Grace,55,"San Jose, CA",Tablet,Mobile,124,2023-01-03 00:00:00
2303,Alice,54,"Houston, TX",Smartwatch,Wearables,867,2023-01-03 01:00:00
6213,Grace,30,"New York, NY",Smartwatch,Wearables,822,2023-01-03 02:00:00
8007,Alice,26,"San Antonio, TX",Tablet,Mobile,250,2023-01-03 03:00:00
9934,Hannah,59,"Houston, TX",Headphones,Audio,822,2023-01-03 04:00:00
9874,Bob,44,"San Antonio, TX",Laptop,Computers,180,2023-01-03 05:00:00
4058,Bob,19,"Phoenix, AZ",Smartwatch,Wearables,926,2023-01-03 06:00:00
2849,Alice,64,"New York, NY",Headphones,Audio,591,2023-01-03 07:00:00
8816,Isla,44,"Houston, TX",Headphones,Audio,963,2023-01-03 08:00:00
2301,Hannah,29,"Phoenix, AZ",Headphones,Audio,578,2023-01-03 09:00:00
9672,Isla,29,"Houston, TX",Headphones,Audio,406,2023-01-03 10:00:00
5037,Hannah,20,"San Antonio, TX",Smartphone,Electronics,472,2023-01-03 11:00:00
1290,David,43,"New York, NY",Smartphone,Electronics,720,2023-01-03 12:00:00
7944,Isla,32,"Dallas, TX",Tablet,Mobile,237,2023-01-03 13:00:00
9381,Hannah,44,"Philadelphia, PA",Laptop,Computers,555,2023-01-03 14:00:00
6314,Alice,68,"San Diego, CA",Tablet,Mobile,538,2023-01-03 15:00:00
6695,Jack,62,"San Diego, CA",Smartphone,Electronics,477,2023-01-03 16:00:00
9568,Eva,52,"Dallas, TX",Tablet,Mobile,912,2023-01-03 17:00:00
7826,Isla,30,"Phoenix, AZ",Tablet,Mobile,380,2023-01-03 18:00:00
1258,Hannah,22,"San Diego, CA",Headphones,Audio,285,2023-01-03 19:00:00
1826,Alice,60,"San Diego, CA",Smartwatch,Wearables,702,2023-01-03 20:00:00
